params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 40, 'atr_multiplier': 1.5}",5402,52288.0000,-0.2154,-3.6971,-55.0438,41.9829,96302.9429,171793.6187,1339.5612,36.7859,-4.1064,42.4937,-3.1220,-0.2006,-0.0455,-27.4328,0.5225,-21.5589,30.0467,42.9322,-18.4722,-2.3008,1.1798,-0.3381,-0.9578,-0.7479,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 3.0}",5402,17810.0000,-0.2172,-5.2429,-56.1665,47.1921,94757.0940,175389.6257,432.3049,41.3828,-4.2389,40.2847,-3.3082,inf,-0.0462,-37.0701,0.5871,-23.7099,27.3433,20.0693,-22.5860,-7.0590,1.2272,-4.4972,-2.0323,-3.7923,,
"{'n_len': 80, 'atr_multiplier': 3.5}",5402,15516.0000,-0.2175,-5.5131,-53.7261,34.8277,94486.8891,163218.8915,382.2520,35.1722,-3.8186,36.1761,-2.9810,-0.2064,-0.0429,-29.9669,0.5043,-23.5825,22.4406,10.7931,-21.6008,-9.6317,0.7825,-7.8264,-3.1505,-4.3928,,
"{'n_len': 40, 'atr_multiplier': 3.5}",5402,17116.0000,-0.2232,-6.0708,-55.6685,41.1657,93929.2065,169835.8767,416.2202,36.7859,-4.3018,38.2773,-3.3285,-0.2137,-0.0486,-32.9491,0.5528,-23.8016,24.5016,15.1136,-22.0746,-8.3386,0.9620,-6.2319,-2.8032,-4.0266,0.0405,0.0405
"{'n_len': 120, 'atr_multiplier': 3.5}",5402,12713.0000,-0.2269,-7.5949,-51.9741,31.5811,92405.0640,154876.5548,311.9862,27.9504,-3.9721,34.2606,-3.0383,-0.2212,-0.0488,-27.4955,0.4667,-24.0580,19.2160,2.5805,-21.4694,-12.0048,0.6180,-10.6861,-5.6036,-3.8875,0.0133,0.0133
"{'n_len': 20, 'atr_multiplier': 2.5}",5402,28701.0000,-0.2300,-5.9812,-56.2215,46.2726,94018.8488,175556.4885,714.2827,41.3828,-4.4737,295.7613,-3.4400,-0.2143,-0.0500,-36.2342,0.5678,-22.8341,30.5494,32.1862,-21.5977,-4.2117,1.8691,-1.7448,-1.2318,-2.2306,,
"{'n_len': 60, 'atr_multiplier': 1.5}",5402,41514.0000,-0.2342,-7.6587,-54.4619,39.5172,92341.2883,167386.5067,1035.0108,33.9992,-4.7670,244.3365,-3.5117,inf,-0.0587,-30.0376,0.5061,-21.9718,28.7748,36.3477,-18.7678,-3.1136,1.0697,-1.1498,-1.9647,-0.8737,0.0398,0.0398
"{'n_len': 100, 'atr_multiplier': 3.5}",5402,14265.0000,-0.2348,-7.7196,-53.1373,33.6634,92280.4318,158920.1827,348.5492,29.5398,-4.2811,35.0349,-3.2619,inf,-0.0515,-28.7963,0.4849,-24.0485,21.1522,7.1247,-21.7577,-10.7284,0.6701,-9.1150,-6.8031,-4.4880,,
"{'n_len': 80, 'atr_multiplier': 3.0}",5402,19272.0000,-0.2407,-7.1285,-54.0135,36.0155,92871.4704,163686.1334,467.2359,35.1722,-4.3808,35.8666,-3.3619,-0.2348,-0.0534,-31.1796,0.4971,-23.2267,24.0166,16.1076,-21.0523,-7.9439,1.0199,-6.0782,-2.2491,-4.0126,,
"{'n_len': 120, 'atr_multiplier': 3.0}",5402,15157.0000,-0.2430,-9.0248,-52.2226,32.5390,90975.1691,154596.0880,364.1276,27.9504,-4.4258,34.0606,-3.3372,inf,-0.0575,-28.7421,0.4646,-23.9459,20.3693,6.6011,-21.0630,-10.5479,1.5254,-9.1354,-3.8166,-6.5665,,
"{'n_len': 60, 'atr_multiplier': 3.0}",5402,21905.0000,-0.2461,-7.8545,-54.9422,37.3312,92145.4649,165807.1121,533.4126,33.9992,-4.7187,126.8456,-3.5494,-0.2419,-0.0586,-31.3956,0.5083,-23.3900,25.2563,20.4291,-21.0327,-6.6177,1.1953,-4.6114,-2.6812,-3.3239,0.0405,0.0405
"{'n_len': 100, 'atr_multiplier': 3.0}",5402,17169.0000,-0.2497,-8.7972,-53.2825,34.7493,91202.8249,158845.9563,412.0965,29.5398,-4.6448,34.8934,-3.5043,inf,-0.0606,-29.5672,0.4823,-23.6773,22.5220,11.8173,-21.2013,-9.1789,2.1648,-7.4802,-2.6694,-3.1168,,
"{'n_len': 80, 'atr_multiplier': 1.5}",5402,35338.0000,-0.2515,-8.9070,-54.0510,37.5303,91092.9613,164305.2445,858.0948,35.1722,-4.9732,54.8321,-3.6552,inf,-0.0654,-32.0200,0.4861,-22.2766,26.3445,30.7179,-17.8268,-3.9102,1.1943,-2.0891,-1.5837,-2.7300,,
"{'n_len': 60, 'atr_multiplier': 2.0}",5402,33544.0000,-0.2531,-9.0412,-54.9201,38.8916,90958.7958,166859.6868,827.5630,33.9992,-5.1854,230.6010,-3.7923,inf,-0.0556,-31.6910,0.5034,-22.5253,28.7993,31.8874,-20.0479,-4.0600,1.1734,-1.9878,3.3203,-1.8046,0.0398,0.0398
"{'n_len': 120, 'atr_multiplier': 2.5}",5402,18061.0000,-0.2561,-9.7187,-52.2895,33.3276,90281.2747,154616.1524,426.5154,27.9504,-4.7211,33.9076,-3.5315,-0.2562,-0.0634,-29.2421,0.4616,-23.7390,21.7424,10.4653,-20.2288,-9.0378,3.0348,-7.6139,-3.0358,-3.9630,,
"{'n_len': 80, 'atr_multiplier': 2.5}",5402,23548.0000,-0.2562,-8.7365,-54.1919,36.7113,91263.5399,163335.2327,566.7438,35.1722,-4.8793,35.3306,-3.6732,inf,-0.0624,-32.3898,0.4907,-23.0790,25.1474,21.2817,-20.2654,-6.4478,1.1774,-4.5506,-2.1095,-3.5078,,
"{'n_len': 60, 'atr_multiplier': 2.5}",5402,27357.0000,-0.2563,-8.9518,-55.0534,38.2664,91048.1674,166266.3360,668.2449,33.9992,-5.1401,254.8559,-3.8015,inf,-0.0622,-31.9878,0.5031,-22.9747,27.8208,26.7286,-20.6438,-5.0674,1.0702,-2.9717,-1.6707,-2.3803,0.0398,0.0398
"{'n_len': 40, 'atr_multiplier': 2.0}",5402,41337.0000,-0.2567,-8.6644,-55.9692,41.2057,91335.6352,169113.6961,1032.9002,36.7859,-5.4140,366.5141,-3.9858,-0.2533,-0.0709,-32.7789,0.5225,-22.4952,29.6477,37.5857,-20.3442,-3.4543,1.0814,-1.3360,-1.1314,-3.2916,0.0405,0.0405
"{'n_len': 80, 'atr_multiplier': 2.0}",5402,28516.0000,-0.2584,-9.0112,-54.2458,37.2021,90988.8266,163941.8578,688.5581,35.1722,-5.0259,35.1359,-3.7424,inf,-0.0641,-32.3056,0.4872,-22.7168,26.2833,26.3299,-19.2365,-5.0055,1.1141,-3.1011,-1.7690,-2.7310,,
"{'n_len': 40, 'atr_multiplier': 3.0}",5402,24057.0000,-0.2595,-9.4846,-56.1939,41.2460,90515.4042,168859.5034,585.0967,36.7859,-5.3752,103.5889,-3.9953,-0.2561,-0.0651,-35.3297,0.5341,-23.5744,26.4531,24.2748,-21.8650,-6.1063,1.4518,-3.8591,-1.6395,-2.6329,0.0405,0.0405
"{'n_len': 100, 'atr_multiplier': 2.5}",5402,20572.0000,-0.2609,-9.7640,-53.4243,35.5170,90236.0289,158964.2170,489.1238,29.5398,-4.9387,34.6560,-3.6797,inf,-0.0654,-30.2792,0.4782,-23.7270,23.7791,16.0752,-20.1707,-7.5910,1.0231,-5.9090,-2.2234,-4.0322,,
"{'n_len': 100, 'atr_multiplier': 2.0}",5402,24896.0000,-0.2648,-10.0564,-53.4000,35.7700,89943.6050,158549.4923,586.8185,29.5398,-5.0412,34.4737,-3.7504,inf,-0.0687,-30.3851,0.4730,-23.4344,24.2823,20.2478,-18.7987,-6.1678,0.9657,-4.5315,-2.0618,-3.3867,,
"{'n_len': 100, 'atr_multiplier': 1.5}",5402,30998.0000,-0.2668,-10.1547,-53.3221,35.8976,89845.2527,158164.8613,727.2769,29.5398,-5.1019,34.3246,-3.7812,inf,-0.0713,-30.2952,0.4686,-23.2132,23.8394,24.3332,-17.1655,-4.9038,1.0654,-3.3582,-2.1195,-3.6535,0.0214,0.0214
"{'n_len': 120, 'atr_multiplier': 2.0}",5402,22006.0000,-0.2677,-10.4500,-52.4108,33.7080,89549.9670,154514.8903,512.0688,27.9504,-4.9837,33.6903,-3.7100,-0.2722,-0.0679,-29.8217,0.4569,-23.6765,22.5930,14.6189,-18.8087,-7.4100,3.3606,-6.0116,-6.9613,-3.3724,,
"{'n_len': 120, 'atr_multiplier': 1.5}",5402,27530.0000,-0.2679,-10.4831,-52.2994,33.9337,89516.9103,154152.7823,636.1065,27.9504,-4.9391,33.5837,-3.6690,-0.2761,-0.0691,-29.6888,0.4524,-23.2828,22.3687,18.8642,-16.9184,-5.7621,0.9843,-4.4318,-2.4389,-6.1966,,
"{'n_len': 40, 'atr_multiplier': 2.5}",5402,32138.0000,-0.2719,-10.9503,-56.3659,40.9809,89049.6908,168217.8856,791.4073,36.7859,-5.8005,235.3347,-4.2569,inf,-0.0774,-35.7923,0.5236,-23.1524,28.5621,32.0132,-21.4223,-4.6460,1.0367,-2.3972,-1.2992,-2.0719,,
